Time,timefit,Condition,Gate,TOF,Extinction,Green,logGreen
T0,0,Low -,R5,1837,1565,57.50,4.051784948
T0,0,Low -,R5,2299,2156,150.00,5.010635294
T0,0,Low -,R5,1578,2144,219.00,5.38907173
T0,0,Low -,R5,2218,2671,458.00,6.126869184
T0,0,Low -,R5,2045,1689,60.40,4.100989105
T0,0,Low -,R5,2548,3207,316.00,5.755742214
T0,0,Low -,R5,1986,2925,72.40,4.282206299
T0,0,Low -,R5,1630,2424,380.00,5.940171253
T0,0,Low -,R5,2143,2915,522.00,6.257667588
T0,0,Low -,R5,2187,3101,489.00,6.192362489
T0,0,Low -,R5,2020,2188,171.00,5.141663557
T0,0,Low -,R5,2325,2509,265.00,5.579729826
T0,0,Low -,R5,1614,2494,145.00,4.976733742
T0,0,Low -,R5,1879,2198,297.00,5.693732139
T0,0,Low -,R5,1951,2487,58.10,4.062165664
T0,0,Low -,R5,1768,2611,212.00,5.356586275
T0,0,Low -,R5,2287,2621,497.00,6.208590026
T0,0,Low -,R5,1551,1938,482.00,6.177944114
T0,0,Low -,R5,2027,2427,60.70,4.105943698
T0,0,Low -,R5,1618,2494,337.00,5.82008293
T0,0,Low -,R5,2416,3342,393.00,5.973809612
T0,0,Low -,R5,1513,1585,51.50,3.941581808
T0,0,Low -,R5,2279,2264,398.00,5.986452005
T0,0,Low -,R5,1996,2954,158.00,5.062595033
T0,0,Low -,R5,2361,2998,552.00,6.313548046
T0,0,Low -,R5,2582,2964,147.00,4.990432587
T0,0,Low -,R5,2201,2983,68.50,4.226833745
T0,0,Low -,R5,2454,2713,210.00,5.347107531
T0,0,Low -,R5,2566,3009,584.00,6.369900983
T0,0,Low -,R5,2130,2998,552.00,6.313548046
T0,0,Low -,R5,2064,2691,167.00,5.117993812
T0,0,Low -,R5,1779,2396,60.20,4.097672352
T0,0,Low -,R5,1506,2542,173.00,5.153291594
